id,date,project,aspect,site_id,elevation_m_asl,plot_id,plant_id,species,traits,value,problem_flag
EJT8246,12/5/2023,T,east,1,2000,4,1,acalypha schinzii,veg_height_cm,13,NA
EJT8246,12/5/2023,T,east,1,2000,4,1,acalypha schinzii,wet_mass_g,0.0374,NA
EJT8246,12/5/2023,T,east,1,2000,4,1,acalypha schinzii,dry_mass_g,0.011,NA
EJT8246,12/5/2023,T,east,1,2000,4,1,acalypha schinzii,leaf_area_cm2,1.211,NA
EJT8246,12/5/2023,T,east,1,2000,4,1,acalypha schinzii,leaf_thickness_mm,0.37666666666666665,NA
EJT8246,12/5/2023,T,east,1,2000,4,1,acalypha schinzii,sla_cm2_g,110.09090909090911,NA
EJT8246,12/5/2023,T,east,1,2000,4,1,acalypha schinzii,ldmc,0.2941176470588235,NA
EBN4662,12/5/2023,T,west,1,2000,1,1,acalypha schinzii,veg_height_cm,14.5,NA
EBN4662,12/5/2023,T,west,1,2000,1,1,acalypha schinzii,wet_mass_g,0.0478,NA
EBN4662,12/5/2023,T,west,1,2000,1,1,acalypha schinzii,dry_mass_g,0.0147,NA
EBN4662,12/5/2023,T,west,1,2000,1,1,acalypha schinzii,leaf_area_cm2,1.673,NA
EBN4662,12/5/2023,T,west,1,2000,1,1,acalypha schinzii,leaf_thickness_mm,0.27166666666666667,NA
EBN4662,12/5/2023,T,west,1,2000,1,1,acalypha schinzii,sla_cm2_g,113.80952380952381,NA
EBN4662,12/5/2023,T,west,1,2000,1,1,acalypha schinzii,ldmc,0.3075313807531381,NA
EJK3690,12/5/2023,T,east,1,2000,4,3,acalypha schinzii,veg_height_cm,17.5,NA
EJK3690,12/5/2023,T,east,1,2000,4,3,acalypha schinzii,wet_mass_g,0.025633333,NA
EJK3690,12/5/2023,T,east,1,2000,4,3,acalypha schinzii,dry_mass_g,0.0092,NA
EJK3690,12/5/2023,T,east,1,2000,4,3,acalypha schinzii,leaf_area_cm2,0.8323333333333333,NA
EJK3690,12/5/2023,T,east,1,2000,4,3,acalypha schinzii,leaf_thickness_mm,0.38,NA
EJK3690,12/5/2023,T,east,1,2000,4,3,acalypha schinzii,sla_cm2_g,90.47101449275361,NA
EJK3690,12/5/2023,T,east,1,2000,4,3,acalypha schinzii,ldmc,0.3589076723016905,NA
ENO0474,12/5/2023,T,west,1,2000,3,3,anthospermum hispidulum,veg_height_cm,5.4,NA
ENO0474,12/5/2023,T,west,1,2000,3,3,anthospermum hispidulum,wet_mass_g,0.002833333,NA
ENO0474,12/5/2023,T,west,1,2000,3,3,anthospermum hispidulum,dry_mass_g,5.444444444444444e-4,NA
ENO0474,12/5/2023,T,west,1,2000,3,3,anthospermum hispidulum,leaf_area_cm2,0.10255555555555557,NA
ENO0474,12/5/2023,T,west,1,2000,3,3,anthospermum hispidulum,leaf_thickness_mm,0.19543333333333332,NA
ENO0474,12/5/2023,T,west,1,2000,3,3,anthospermum hispidulum,sla_cm2_g,188.36734693877554,NA
ENO0474,12/5/2023,T,west,1,2000,3,3,anthospermum hispidulum,ldmc,0.19215686274509805,NA
EHO8850,12/6/2023,T,west,2,2200,1,2,anthospermum herbaceum,veg_height_cm,4,NA
EHO8850,12/6/2023,T,west,2,2200,1,2,anthospermum herbaceum,wet_mass_g,0.00782,NA
EHO8850,12/6/2023,T,west,2,2200,1,2,anthospermum herbaceum,dry_mass_g,0.0016,NA
EHO8850,12/6/2023,T,west,2,2200,1,2,anthospermum herbaceum,leaf_area_cm2,0.3524,NA
EHO8850,12/6/2023,T,west,2,2200,1,2,anthospermum herbaceum,leaf_thickness_mm,0.35366666666666663,NA
EHO8850,12/6/2023,T,west,2,2200,1,2,anthospermum herbaceum,sla_cm2_g,220.24999999999997,NA
EHO8850,12/6/2023,T,west,2,2200,1,2,anthospermum herbaceum,ldmc,0.20460358056265984,NA
DQL4323,12/6/2023,T,west,2,2200,2,1,anthospermum herbaceum,veg_height_cm,5,NA
DQL4323,12/6/2023,T,west,2,2200,2,1,anthospermum herbaceum,rep_height_cm,6.7,NA
DQL4323,12/6/2023,T,west,2,2200,2,1,anthospermum herbaceum,wet_mass_g,0.01724,NA
DQL4323,12/6/2023,T,west,2,2200,2,1,anthospermum herbaceum,dry_mass_g,0.00286,NA
DQL4323,12/6/2023,T,west,2,2200,2,1,anthospermum herbaceum,leaf_area_cm2,0.6166,NA
DQL4323,12/6/2023,T,west,2,2200,2,1,anthospermum herbaceum,leaf_thickness_mm,0.2836666666666667,NA
DQL4323,12/6/2023,T,west,2,2200,2,1,anthospermum herbaceum,sla_cm2_g,215.5944055944056,NA
DQL4323,12/6/2023,T,west,2,2200,2,1,anthospermum herbaceum,ldmc,0.16589327146171695,NA
EFV4279,12/6/2023,T,east,2,2200,2,2,anthospermum herbaceum,veg_height_cm,2.4,NA
EFV4279,12/6/2023,T,east,2,2200,2,2,anthospermum herbaceum,wet_mass_g,0.01242,NA
EFV4279,12/6/2023,T,east,2,2200,2,2,anthospermum herbaceum,dry_mass_g,0.00228,NA
EFV4279,12/6/2023,T,east,2,2200,2,2,anthospermum herbaceum,leaf_area_cm2,0.4638,NA
EFV4279,12/6/2023,T,east,2,2200,2,2,anthospermum herbaceum,leaf_thickness_mm,0.3463333333333333,NA
EFV4279,12/6/2023,T,east,2,2200,2,2,anthospermum herbaceum,sla_cm2_g,203.42105263157896,NA
EFV4279,12/6/2023,T,east,2,2200,2,2,anthospermum herbaceum,ldmc,0.18357487922705312,NA
CXU9780,12/6/2023,T,west,2,2200,2,3,anthospermum herbaceum,veg_height_cm,1.9,NA
CXU9780,12/6/2023,T,west,2,2200,2,3,anthospermum herbaceum,wet_mass_g,0.00448,NA
CXU9780,12/6/2023,T,west,2,2200,2,3,anthospermum herbaceum,dry_mass_g,7e-4,NA
CXU9780,12/6/2023,T,west,2,2200,2,3,anthospermum herbaceum,leaf_area_cm2,0.2192,NA
CXU9780,12/6/2023,T,west,2,2200,2,3,anthospermum herbaceum,leaf_thickness_mm,0.3303333333333333,NA
CXU9780,12/6/2023,T,west,2,2200,2,3,anthospermum herbaceum,sla_cm2_g,313.14285714285717,NA
CXU9780,12/6/2023,T,west,2,2200,2,3,anthospermum herbaceum,ldmc,0.15625,NA
ERT1731,12/6/2023,T,east,2,2200,1,2,anthospermum herbaceum,veg_height_cm,2,NA
ERT1731,12/6/2023,T,east,2,2200,1,2,anthospermum herbaceum,wet_mass_g,0.01576,NA
ERT1731,12/6/2023,T,east,2,2200,1,2,anthospermum herbaceum,dry_mass_g,0.00326,NA
ERT1731,12/6/2023,T,east,2,2200,1,2,anthospermum herbaceum,leaf_area_cm2,0.6632,NA
ERT1731,12/6/2023,T,east,2,2200,1,2,anthospermum herbaceum,leaf_thickness_mm,0.352,NA
ERT1731,12/6/2023,T,east,2,2200,1,2,anthospermum herbaceum,sla_cm2_g,203.4355828220859,NA
ERT1731,12/6/2023,T,east,2,2200,1,2,anthospermum herbaceum,ldmc,0.2068527918781726,NA
EZO1598,12/3/2023,T,west,1,2000,2,1,anthospermum hispidulum,veg_height_cm,4.3,NA
EZO1598,12/3/2023,T,west,1,2000,2,1,anthospermum hispidulum,wet_mass_g,8.666666666666666e-4,NA
EZO1598,12/3/2023,T,west,1,2000,2,1,anthospermum hispidulum,dry_mass_g,2.1666666666666666e-4,NA
EZO1598,12/3/2023,T,west,1,2000,2,1,anthospermum hispidulum,leaf_area_cm2,0.045500000000000006,NA
EZO1598,12/3/2023,T,west,1,2000,2,1,anthospermum hispidulum,leaf_thickness_mm,0.095333333,NA
EZO1598,12/3/2023,T,west,1,2000,2,1,anthospermum hispidulum,sla_cm2_g,210.00000000000003,NA
EZO1598,12/3/2023,T,west,1,2000,2,1,anthospermum hispidulum,ldmc,0.25,NA
DLC0282,12/5/2023,T,west,1,2000,4,1,anthospermum hispidulum,veg_height_cm,5.4,NA
DLC0282,12/5/2023,T,west,1,2000,4,1,anthospermum hispidulum,rep_height_cm,4.9,NA
DLC0282,12/5/2023,T,west,1,2000,4,1,anthospermum hispidulum,wet_mass_g,0.002866667,NA
